sp500_std,sp500_q01,sp500_q05,sp500_q95,sp500_q99,sp500_abs_autocorr_lag1,sp500_abs_autocorr_lag5,sp500_abs_autocorr_lag20,dgs10_std,dgs10_q01,dgs10_q05,dgs10_q95,dgs10_q99,dgs10_abs_autocorr_lag1,dgs10_abs_autocorr_lag5,dgs10_abs_autocorr_lag20,cross_corr,rolling_corr_std_60,corr_down_sp500_q05,corr_up_sp500_q95,window_start,window_end
0.012533566883747248,-0.029718220000000004,-0.0168489,0.0168822,0.026931970000000013,0.24484138716920298,0.21419601351164913,0.03188692581227445,0.0741227449778103,-0.2,-0.1,0.12,0.2,0.06330623282858487,0.1329287716375404,0.019315078820623416,-0.333032437662027,0.199384165419126,0.24534225886876387,-0.26318306733914465,4914,6173
0.012476537651444224,-0.02916884,-0.0166217,0.01686855,0.027235930000000047,0.24861704406199564,0.21673042118474029,0.03773728328544774,0.06802962955856524,-0.18,-0.09,0.11,0.18410000000000082,0.05113977947090024,0.13540520103688639,0.02878153445288299,-0.33196132673674406,0.2033053781862758,0.25167974546185695,-0.3022867419841545,5040,6299
0.012302053398538081,-0.02916884,-0.016183999999999997,0.015977349999999987,0.027235930000000047,0.25598332559198084,0.2311550685613103,0.04262304894826139,0.06750626979056164,-0.18,-0.09,0.1,0.18,0.052758000578744135,0.13790180162053103,0.031141854671913466,-0.31940269499928425,0.2114625605636298,0.2849444219450396,-0.30134193283893523,5166,6425
0.012086009880670557,-0.02916884,-0.015076599999999999,0.015569749999999995,0.027235930000000047,0.2708673059911926,0.2419300715999407,0.055559189328393606,0.06420230302454369,-0.1741,-0.09,0.1,0.1541000000000008,0.016974274560253064,0.1122379329518724,0.03185563383355105,-0.2902527718973321,0.20967216887486104,0.29084668463426466,-0.3488325919415376,5292,6551
0.008480769498397106,-0.02042053,-0.01300225,0.01379885,0.022886280000000064,0.05373551676698212,0.06281336852168624,0.01819659517327092,0.057187408799083544,-0.17,-0.09,0.09,0.15,-0.015239051271951104,0.045735875293330425,0.031388602745414496,-0.36064413810038193,0.20956820994192127,0.1345280918524789,-0.31036282628298023,5418,6677
0.008022773998451726,-0.01967431,-0.0121222,0.013306,0.021637900000000057,0.07044864314365068,0.09178895260518172,0.03039415495418844,0.05575812502336326,-0.16,-0.09,0.09,0.14,-0.005505611912889092,0.06696232277012987,0.022176737083113893,-0.3435330181951648,0.200500063320536,0.1833430328563261,-0.3862146012435062,5544,6803
0.00789646311361174,-0.01997396,-0.0121151,0.013189549999999998,0.02135087,0.080959541618185,0.10194639815690798,0.04807799661540226,0.05700979628802004,-0.15,-0.09,0.09,0.13410000000000083,0.008626882584416448,0.04697095894042617,0.015371157736996668,-0.3432769330650727,0.1937310284703184,0.17649872334800154,-0.39306499663293787,5670,6929
0.007760215121893405,-0.01967431,-0.0121184,0.012524599999999999,0.02055799000000011,0.09156062119205563,0.1045820324952132,0.04909481646257325,0.05757209502043981,-0.15410000000000001,-0.09,0.09,0.1441000000000008,0.01488145958725787,0.05162231014285759,0.057774909412519226,-0.3544448250113453,0.20755993179268845,0.21395692455818732,-0.4103340313671132,5796,7055
0.007300592137857523,-0.01824858,-0.0119221,0.012086999999999994,0.019961210000000007,0.09462183132388195,0.14619870840131716,0.06291228886096589,0.057532391819969955,-0.15410000000000001,-0.09,0.09,0.14,-0.004103606634369244,0.046529703285848024,0.06117437326534523,-0.4007462549755602,0.18839415569618517,-0.1683194989357225,-0.44665165328487844,5922,7181
0.006821369371376815,-0.016784689999999998,-0.010556049999999999,0.011789399999999998,0.01932269000000001,0.06286310232632553,0.13486493919412101,0.04967672562056129,0.05781581722774152,-0.1441,-0.09,0.09,0.15,-0.007950039041501579,0.026701389067985005,0.065748053816276,-0.3883117674933844,0.185540718354569,0.02826641175792903,-0.24753411250599847,6048,7307
